Life expectancy,GDP,Population
65.0,584.25921,33736494.0
59.9,612.696514,327582.0
59.9,631.744976,31731688.0
59.5,669.959,3696958.0
59.2,63.537231,2978599.0
58.8,553.32894,2883167.0
58.6,445.8932979,284331.0
58.1,373.3611163,2729431.0
57.5,369.835796,26616792.0
57.3,272.56377,2589345.0
57.3,25.2941299,257798.0
57.0,219.1413528,24118979.0
56.7,198.7285436,2364851.0
56.2,187.84595,21979923.0
55.3,117.49698,2966463.0
54.8,114.56,293756.0
77.8,3954.22783,28873.0
77.5,4575.763787,288914.0
77.2,4414.72314,289592.0
76.9,4247.61438,2941.0
76.6,4437.17868,295195.0
76.2,494.358832,291321.0
76.1,4114.136545,2927519.0
75.3,437.539647,2947314.0
75.9,363.13685,29717.0
74.2,35.1293,2992547.0
73.5,279.142931,311487.0
73.0,2416.588235,326939.0
72.8,189.681557,339616.0
73.3,1453.642777,3511.0
73.6,1326.97339,36173.0
72.6,1175.788981,38927.0
75.6,4132.76292,39871528.0
75.4,547.8517,39113313.0
75.3,5471.866766,38338562.0
75.1,5564.82566,37565847.0
74.9,5432.2523,36819558.0
74.7,4463.394675,36117637.0
74.4,3868.83123,3546576.0
74.1,495.254866,3486715.0
73.8,3935.183343,34376.0
73.4,3464.6179,33777915.0
72.9,31.122378,33288437.0
72.3,2598.9823,3283196.0
71.7,294.33556,3243514.0
71.6,1774.33673,3199546.0
71.4,1732.857979,31592153.0
71.3,1757.17797,3118366.0
52.4,3695.793748,2785935.0
51.7,479.31224,2692466.0
51.1,484.616884,2599834.0
56.0,4598.249988,259615.0
51.0,4299.12889,24218565.0
49.6,3529.53482,23369131.0
49.1,3347.84485,22549547.0
48.7,3868.578883,2175942.0
48.2,2878.837144,2997687.0
47.7,262.415149,2262399.0
47.4,1443.991929,19552542.0
47.1,141.86844,18865716.0
46.8,779.468356,1823369.0
46.5,711.181716,17572649.0
45.7,526.168743,16983266.0
45.3,555.2969419,1644924.0
76.3,13467.1236,43417765.0
76.2,12245.25645,42981515.0
76.0,12976.63642,42539925.0
75.9,12969.7712,4296739.0
75.7,12726.9836,41656879.0
75.5,1276.265,41223889.0
75.6,8161.36966,479947.0
75.4,8953.359275,4382389.0
74.8,7193.61764,3997224.0
75.2,5878.76127,3955889.0
74.9,576.883829,39145488.0
74.7,4251.574348,38728696.0
74.1,333.4376,3839379.0
74.1,2579.193168,3788937.0
74.0,717.694674,3747159.0
74.1,7669.273916,3757452.0
74.8,369.654776,291695.0
74.6,3994.712355,29622.0
74.4,3843.591213,289359.0
74.4,3684.8481,2881922.0
73.9,3526.978143,2875581.0
73.5,3218.381655,2877311.0
73.3,2993.832531,2888584.0
73.2,41.26997,29822.0
73.5,3138.8873,293356.0
72.9,2158.299,29585.0
73.0,1643.758397,2981259.0
73.0,1191.96192,3612.0
72.7,93.1661567,31786.0
72.6,783.261699,333897.0
72.6,694.435119,35655.0
72.0,622.7427477,369588.0
82.8,56554.3876,23789338.0
82.7,62214.6912,2346694.0
82.5,67792.3386,23117353.0
82.3,67677.63477,22728254.0
82.0,62245.129,223424.0
81.9,51874.848,223175.0
81.7,42742.99898,216917.0
81.3,49664.6854,212492.0
81.3,4991.98289,28276.0
81.2,36118.28381,26979.0
81.0,3416.71483,23948.0
86.0,3472.37977,21274.0
83.0,23465.38559,198954.0
79.9,281.81763,196514.0
79.9,19517.84168,19413.0
79.5,2169.921,19153.0
81.5,43665.947,8633169.0
81.4,51322.63997,8541575.0
81.1,554.71532,8479375.0
88.0,48333.57273,8429991.0
88.0,51126.74139,8391643.0
84.0,46657.629,836344.0
82.0,47654.18721,8343323.0
84.0,51386.37665,8321496.0
81.0,46586.6525,8295487.0
79.8,443.99361,8268641.0
79.4,38242.4252,8227829.0
79.3,36693.4262,8171966.0
78.8,3212.9355,8121423.0
78.7,26351.37568,881957.0
78.6,24489.73553,842293.0
78.1,24517.26745,811566.0
72.7,55.31382,9649341.0
72.5,7891.299776,953579.0
72.2,7875.756953,941681.0
71.9,7496.335728,9295784.0
71.6,7189.691229,917382.0
71.1,5842.85784,954332.0
78.0,495.294791,8947243.0
73.0,5574.6382,87634.0
73.0,3851.437869,85813.0
69.2,2473.85776,848455.0
68.4,1578.4239,839185.0
68.4,145.2163,8365.0
67.8,883.6439965,82341.0
67.8,763.73858,817195.0
67.5,73.6838434,81112.0
66.6,655.974326,8486.0
71.8,121.15812,1612886.0
71.4,184.56543,15945279.0
71.0,951.8894535,157571292.0
77.0,856.342857,15572753.0
73.0,835.789341,153911916.0
69.9,757.6717572,15214912.0
69.5,681.125368,1545478.0
69.1,615.7775411,14885814.0
68.6,541.651484,147139191.0
68.2,494.51466,1453684.0
67.8,484.155471,14343111.0
67.3,46.7579167,14137489.0
66.8,432.7388972,139191.0
66.3,4.6135745,1366667.0
65.8,42.5981152,1341716.0
65.3,45.63371,131581243.0
72.3,5949.11677,9489616.0
72.0,8318.429294,9474511.0
71.7,7978.825443,9465997.0
71.9,694.243915,9464495.0
72.0,6519.71753,9473172.0
73.0,63.38877,949583.0
70.0,5176.172649,956765.0
70.0,6376.183153,9527985.0
69.8,4735.484827,956953.0
68.9,3848.215966,964924.0
68.1,3126.71767,9663915.0
68.2,2378.33927,973146.0
67.7,1819.525644,9796749.0
67.2,1479.383142,9865548.0
67.7,1244.373185,9928549.0
68.0,1276.28834,997961.0
81.1,4356.875,11274196.0
89.0,47439.39684,112957.0
87.0,4651.38647,11182817.0
83.0,4474.5717,11128246.0
83.0,4772.77415,1147744.0
80.0,4438.23741,1895586.0
79.8,4488.5615,1796493.0
79.5,48424.58927,179973.0
79.5,4443.83131,16257.0
79.4,38852.3613,1547958.0
78.9,36967.28292,1478617.0
78.8,35589.71295,1421137.0
78.3,3743.95693,1376133.0
78.0,2552.3328,1332785.0
78.0,23121.56635,128657.0
77.6,2327.4591,125125.0
71.0,4849.997495,359288.0
70.0,4852.223666,351694.0
69.8,4688.538443,344181.0
69.4,4673.63848,33671.0
69.4,4516.24675,329192.0
69.5,4344.15177,32168.0
69.5,4258.788611,313929.0
69.6,447.22796,36165.0
69.6,4324.876427,29847.0
69.4,4187.3783,29747.0
69.0,3933.332215,283277.0
68.7,3831.53819,27689.0
68.4,3679.99523,26913.0
68.5,3556.561825,26226.0
68.2,3419.275719,254984.0
68.3,3364.423711,247315.0
60.0,783.94791,1575952.0
59.7,943.686575,1286712.0
59.5,915.2674586,14451.0
59.3,837.9551,972916.0
59.1,825.9427854,94682.0
58.7,757.695974,9199259.0
58.4,793.45243,894476.0
57.6,82.1513498,8696916.0
57.1,76.535419,8454791.0
56.8,625.8392,8216896.0
56.5,61.799977,7982225.0
56.1,583.493514,7754.0
55.8,519.2922847,752555.0
55.6,418.6985763,7295394.0
55.5,378.73654,776733.0
55.4,374.1923942,6865951.0
69.8,2613.645177,787386.0
69.4,2522.7968,776448.0
69.1,235.882889,764961.0
68.7,2422.816,752967.0
68.3,2458.45976,7451.0
67.9,2178.921383,727641.0
67.4,177.234497,714458.0
67.0,1795.18137,795.0
66.5,1741.142552,686958.0
65.8,1335.45696,672228.0
65.0,1247.61392,656639.0
64.2,197.45788,64282.0
63.3,997.7417141,623434.0
62.5,885.6382245,66399.0
61.7,87.9387673,5896.0
62.0,765.8632358,573416.0
77.4,4574.9787,3535961.0
77.2,5193.94932,35662.0
77.0,535.86555,364999.0
76.8,4716.673325,36482.0
76.9,55.156834,3688865.0
76.4,4611.47298,372284.0
76.1,4697.89732,3746561.0
76.0,575.31664,3763599.0
75.4,418.292176,3774.0
75.7,344.321698,3779468.0
75.0,2968.41186,378153.0
75.5,265.642661,3781287.0
75.2,2214.732246,3779247.0
75.4,1761.537647,377587.0
74.9,1524.41222,3771284.0
74.6,1461.7552,376676.0
65.7,6532.651,229197.0
65.1,7497.762376,2168573.0
64.2,77.625783,212857.0
63.4,729.231453,289315.0
62.2,7645.21469,251339.0
61.1,6346.15624,214866.0
59.2,5185.729845,1979882.0
57.5,5623.379566,1946351.0
56.9,5714.47937,1914414.0
54.8,5374.554867,1884238.0
51.7,5351.253732,1855852.0
48.1,4896.583835,182933.0
46.4,4163.6596,184339.0
46.0,355.618382,1779953.0
46.7,3128.97793,1754935.0
47.8,3349.68823,172834.0
75.0,8757.2622,2596218.0
74.8,1226.61731,24213133.0
74.7,12216.9446,2248632.0
74.5,12291.46685,256983.0
74.1,13167.47289,198686688.0
73.8,11224.1548,196796269.0
73.6,8553.3847,194895996.0
73.4,8787.61375,19297929.0
73.3,7313.557962,19126637.0
73.0,586.145975,18912412.0
72.7,477.182746,186917361.0
72.0,3623.47667,184738458.0
71.8,359.587582,182482149.0
71.4,2819.649531,1815121.0
71.0,3146.95177,1777567.0
75.0,3739.11936,175287587.0
74.5,6993.47736,7177991.0
74.3,7853.335191,7223938.0
74.1,7674.86559,7265115.0
73.9,7378.25539,735888.0
73.7,7813.83499,7348328.0
73.4,6843.263289,7395599.0
73.2,6955.987733,7444443.0
72.9,7296.122479,7492561.0
72.6,5932.899677,7545338.0
72.2,4513.13628,76122.0
72.1,3893.68998,7658972.0
72.2,3381.57837,771686.0
72.0,271.46824,7775327.0
71.8,287.534843,7837161.0
71.6,1764.97387,89142.0
71.1,169.28586,817172.0
59.9,615.592225,1811624.0
59.3,75.1464113,17585977.0
59.0,699.452847,1772723.0
58.6,673.8227,16571216.0
58.1,666.842783,168194.0
57.5,575.4464527,1565217.0
56.9,552.7455521,1514199.0
56.1,569.7612784,14689726.0
55.3,475.11122,1425221.0
54.3,422.6332374,13829177.0
53.3,46.998871,1342193.0
52.4,371.323865,133569.0
51.6,332.344351,12654621.0
51.0,26.7635413,122931.0
56.0,235.4912324,11944587.0
51.0,226.4759814,1167942.0
59.6,33.681223,119927.0
59.1,312.7489794,989179.0
58.6,282.7555252,96186.0
58.0,265.285651,931971.0
57.4,26.479973,94358.0
56.8,231.1943256,876693.0
56.2,24.944652,848931.0
55.3,196.2472628,8212264.0
54.8,17.79995,7939573.0
54.1,165.8794176,7675338.0
53.4,15.57434,7423289.0
52.6,127.4296648,7182451.0
51.9,112.849373,6953113.0
51.5,122.4335893,6741569.0
51.3,133.7427689,6555829.0
58.0,135.9984455,6476.0
73.3,2954.119467,532913.0
73.0,3529.61843,526437.0
72.8,3558.796314,5216.0
72.7,348.482762,513979.0
72.6,367.429453,5867.0
72.5,3312.825985,52384.0
72.4,3444.5566,496963.0
72.4,3638.95946,491723.0
72.3,3112.285712,486438.0
72.1,234.28992,48795.0
71.8,248.13459,474567.0
71.4,1976.45856,467664.0
71.1,1768.92132,46147.0
77.0,1373.515636,45216.0
73.0,1268.884564,443716.0
69.9,1239.377855,43579.0
68.7,1163.18977,15517635.0
68.3,198.687123,152779.0
67.8,128.419568,1522692.0
67.4,95.244132,14776866.0
67.0,882.491462,14537886.0
66.6,785.6928841,143874.0
66.1,738.2326684,14928.0
65.6,745.7877873,138859.0
65.0,631.675789,13676693.0
64.1,539.8791529,13474489.0
62.9,474.2238766,132721.0
61.5,48.615184,1363377.0
63.0,362.4213785,12853124.0
59.3,339.676984,12634729.0
58.5,321.22634,1242473.0
57.7,3.685949,12152354.0
57.3,1244.429421,22834522.0
56.7,1441.1417,2223994.0
56.4,1365.34419,21655715.0
55.9,1255.648189,2182383.0
55.6,1295.649726,252447.0
55.3,1182.869227,1997495.0
54.8,123.19538,19432541.0
54.2,1233.524316,18978.0
53.6,111.71186,18395389.0
53.3,12.989164,17899562.0
52.8,952.1872484,1742795.0
52.1,93.211716,1695981.0
51.8,824.8689393,16513822.0
51.6,676.397661,1684886.0
51.5,614.6729339,15671927.0
51.4,68.414399,15274234.0
82.2,43315.744,3584861.0
82.0,544.43376,35544564.0
81.8,52413.72116,35155451.0
81.6,52496.69487,3475545.0
81.5,5282.2176,3434278.0
81.2,47447.4762,345274.0
81.0,4773.45436,33628571.0
87.0,46596.33599,33245773.0
85.0,44544.5268,32887928.0
85.0,4386.69948,325755.0
81.0,36189.58838,32312.0
80.0,31979.87195,31995.0
79.7,28172.14883,31676.0
79.5,24167.8431,31362.0
79.4,23691.59472,31819.0
79.1,24124.16917,37697.0
52.5,348.381417,45461.0
58.0,377.132274,4515392.0
49.9,337.4849614,4499653.0
53.0,486.41114,449416.0
49.8,494.336779,4476153.0
49.2,446.4434494,4448525.0
48.6,449.961839,44423.0
47.6,456.8614334,4345386.0
46.8,397.148467,42758.0
46.3,347.673678,421758.0
45.9,327.1149461,412791.0
45.7,313.21598,45536.0
45.7,286.25819,3981665.0
45.6,253.768343,397612.0
45.6,243.1586486,383223.0
46.0,243.5429317,3754986.0
53.1,777.248751,149413.0
52.6,125.998515,13569438.0
52.2,986.13177,13133589.0
51.8,973.472574,1275135.0
51.6,989.2363633,12288651.0
51.2,896.5697341,1188722.0
57.0,84.455939,1152786.0
49.6,929.772391,11133861.0
49.4,81.683884,177578.0
48.5,712.1847694,1421597.0
48.6,66.2421396,1679.0
48.5,454.6765879,97143.0
48.4,292.5914364,935321.0
48.1,22.854821,91689.0
48.0,197.3156442,866312.0
47.6,166.231785,8342559.0
85.0,13653.2264,17762681.0
83.0,14817.37778,17613798.0
81.0,15941.39722,17462982.0
79.9,15431.9293,1739746.0
79.8,1475.69242,17153357.0
79.1,1286.17764,16993354.0
79.3,1243.32824,16829442.0
79.6,1781.3668,16661942.0
78.9,1526.87746,16491687.0
78.9,9484.681227,16319792.0
78.4,7615.3468,1614764.0
78.0,621.828325,15973778.0
77.9,4787.699532,15799542.0
77.8,4463.545867,15623635.0
77.3,4595.666327,15444969.0
77.3,511.368479,15262754.0
76.1,869.211938,137122.0
75.8,7683.5238,136427.0
75.6,777.77594,135738.0
75.4,6337.882993,135695.0
75.2,5633.79616,134413.0
75.0,456.512487,133775.0
74.9,3838.434292,133126.0
74.5,3471.247547,1324655.0
74.4,2695.366223,1317885.0
74.2,299.229676,13112.0
73.9,1753.4178,13372.0
73.5,158.668462,129675.0
73.1,1288.642924,12884.0
72.7,1148.5857,1284.0
72.2,153.1824,127185.0
71.7,959.372181,1262645.0
74.8,644.525556,48228697.0
74.6,7913.383432,47791911.0
74.4,83.5863,47342981.0
74.3,7884.984429,46881475.0
74.2,7227.73968,4646646.0
73.6,625.65544,4591897.0
73.6,5148.422113,45416181.0
73.5,5433.7245,4491544.0
73.5,4674.21961,44374572.0
73.1,379.78776,43835722.0
73.1,3386.256,43285634.0
72.8,274.249442,42724163.0
72.4,2246.257472,42152151.0
71.8,2355.725857,41572491.0
71.5,2395.856551,498899.0
71.4,2472.197831,443958.0
63.5,727.6463868,777424.0
63.2,852.954379,759385.0
62.9,834.341949,7415.0
62.5,788.632653,723868.0
62.2,829.7586885,76569.0
61.8,769.1742883,689692.0
61.3,778.5454199,673252.0
61.0,795.97519,657229.0
66.0,72.759313,64162.0
63.0,648.38717,626425.0
60.0,621.93372,611627.0
59.8,616.4197236,597228.0
59.6,544.566526,583211.0
59.5,433.2691451,569479.0
59.5,395.9319363,555888.0
59.5,375.8528566,542357.0
79.6,1146.36273,487852.0
79.5,1647.44179,4757575.0
79.4,1569.66631,47641.0
79.2,9985.36959,4654122.0
79.0,9186.59639,46474.0
78.1,8199.414621,454528.0
79.2,689.396224,4488263.0
78.9,6911.136136,442958.0
78.9,612.623418,4369469.0
78.0,5245.187372,438794.0
78.6,4697.11135,4247841.0
77.7,4425.57467,418738.0
78.0,4167.71417,4125971.0
78.3,462.14965,46324.0
77.5,3981.52847,3996798.0
77.6,388.363689,3925443.0
78.0,11579.6674,42364.0
77.8,13467.46827,4238389.0
77.7,13574.749,4255689.0
77.1,13235.97757,4267558.0
77.0,14539.18421,428622.0
76.6,1355.74586,4417781.0
76.3,14157.14416,442978.0
76.0,15893.8656,443458.0
75.8,13546.69872,4436.0
75.9,11363.41845,444.0
75.2,1224.2459,4442.0
75.4,9365.742468,4439.0
74.7,785.881418,444.0
74.8,653.71637,444.0
74.9,5245.421419,444.0
74.7,4919.62869,4426.0
85.0,2375.1127,116985.0
83.0,2734.88382,115239.0
81.0,2797.96736,1143896.0
80.0,28951.15556,113562.0
79.7,32233.83942,1124835.0
79.5,3818.46396,111267.0
79.3,3215.8159,19876.0
79.1,3539.7488,181563.0
78.9,31386.63265,163712.0
78.8,27169.99256,14559.0
78.7,25324.48666,127658.0
78.6,23932.49128,1141.0
78.5,2293.4789,993563.0
78.4,16372.29152,976966.0
78.2,1562.92433,96282.0
78.1,14672.8826,943286.0
86.0,5314.64416,5683483.0
84.0,62425.5392,5643475.0
81.0,61191.19263,5614932.0
80.0,5857.521,5591572.0
79.7,61753.667,557572.0
79.2,5841.41122,5547683.0
78.9,58163.29359,552395.0
78.8,64322.6664,5493621.0
78.4,58487.451,5461438.0
78.1,5226.99311,5437272.0
78.1,48799.8237,5419432.0
77.7,46511.6457,544523.0
77.3,4458.7764,539574.0
77.0,33228.69291,5375931.0
77.0,3751.64946,5358783.0
76.9,3743.55917,5339616.0
63.5,1862.167274,927414.0
63.0,174.91511,912164.0
62.7,1622.637974,896688.0
62.2,1536.15685,881185.0
61.8,143.986898,865937.0
61.3,1325.99724,851146.0
69.0,1253.657431,83684.0
62.0,1214.77118,822934.0
59.8,147.586896,8942.0
59.1,965.6693779,79628.0
58.6,94.7297489,783254.0
58.1,864.184726,77752.0
58.0,819.974118,758615.0
57.9,792.15412,746221.0
57.7,781.2322196,732711.0
57.4,768.176767,717584.0
73.9,6468.471648,1528394.0
73.6,6268.692122,145844.0
73.4,627.55544,1281296.0
72.1,5968.876767,115495.0
73.1,5759.643,12795.0
72.7,5451.6696,9897985.0
73.6,4952.67753,9767758.0
73.3,511.37937,963652.0
72.9,4647.31359,954353.0
72.3,3836.468771,9371338.0
69.7,3681.5993,9237566.0
69.3,2421.9662,912998.0
73.0,2372.628827,896776.0
71.4,38.46578,8832285.0
71.2,2862.154836,8697126.0
72.0,282.4242,8562622.0
76.2,625.62224,16144368.0
76.0,6432.216537,1593112.0
76.0,674.9829,15661547.0
75.5,572.14313,15419666.0
75.3,5223.351763,15177355.0
75.0,4657.32361,1493469.0
75.1,4255.56571,14691275.0
74.6,4274.95265,14447562.0
74.7,359.71886,1425453.0
74.4,335.786541,1396748.0
74.2,321.942547,13735233.0
74.4,278.557892,1359647.0
74.4,244.46898,1328961.0
73.6,2183.966796,13726.0
73.4,193.741571,12852755.0
72.8,1451.29776,12628596.0
73.5,4127.11775,6312478.0
73.3,3988.771871,6281189.0
73.0,3895.664491,625777.0
73.0,3827.786267,6221246.0
72.0,3736.58713,619256.0
72.0,3474.392445,6164626.0
71.4,3366.482133,6137276.0
71.7,357.347674,61131.0
71.2,334.83817,683475.0
75.0,362.951768,656478.0
71.0,2835.281237,628961.0
70.0,2632.79942,6775.0
69.9,2519.737387,5971535.0
73.0,248.4125,59433.0
68.9,2338.772244,595962.0
69.0,2238.4116,5867626.0
58.2,1347.31257,1175389.0
57.9,192.59733,1129424.0
57.4,2246.9938,183746.0
56.7,21557.6528,138593.0
56.2,21451.88617,99429.0
56.1,17136.44568,95114.0
55.7,1653.2937,99111.0
55.4,22742.38159,868418.0
55.0,15761.83913,829327.0
54.8,12732.2759,792217.0
54.4,185.63334,757317.0
54.1,685.34897,724817.0
53.8,3577.176197,694611.0
53.5,2711.17114,66647.0
53.1,2283.87939,639762.0
52.7,172.68491,614323.0
62.9,582.775532,447469.0
62.1,482.14994,43984.0
61.4,43.7544499,431334.0
67.0,326.825642,4232636.0
62.0,317.3294336,4153332.0
59.7,297.828588,466648.0
59.4,276.75896,39697.0
59.1,287.4222243,3858623.0
58.8,232.7945459,3738265.0
58.5,21.7687981,3614639.0
58.1,215.139213,3497124.0
45.3,28.1969487,339281.0
77.6,1774.9291,131547.0
77.3,19941.45532,1314545.0
76.9,1929.7746,1317997.0
76.3,17421.8922,1322696.0
76.1,17454.84342,1327439.0
75.6,14638.6482,1331475.0
74.9,14726.31828,1334515.0
74.2,1894.5485,13379.0
73.0,16586.452,13468.0
73.0,12595.4165,134681.0
72.8,1338.31322,1354775.0
72.3,885.465115,136255.0
71.9,7174.237415,13772.0
71.2,538.347781,137935.0
78.0,4498.95727,1388115.0
78.0,47.32827,1396985.0
64.8,645.4637627,9987333.0
64.2,571.1622759,97366774.0
63.7,52.1535887,94887724.0
63.3,468.567249,92444183.0
62.6,354.8463544,946756.0
61.8,341.39992,877267.0
68.0,379.7566385,85416253.0
59.8,325.3825543,83184892.0
58.5,243.326822,8149.0
57.2,193.794956,7885689.0
56.0,161.6266248,7672783.0
55.0,135.7623858,7462445.0
54.0,118.8734466,72545144.0
53.2,111.3634356,7497192.0
52.5,12.1789279,68492257.0
51.2,123.876257,66537331.0
69.9,4921.89629,892149.0
69.7,546.3728,88586.0
69.6,4763.68956,879715.0
69.4,4546.73854,873596.0
69.2,4353.121392,86786.0
69.1,3651.966784,85995.0
68.9,3369.48247,851967.0
68.7,4177.657789,84334.0
68.6,478.82327,834812.0
68.5,3749.939813,827411.0
68.3,3658.63832,821817.0
68.1,3332.918533,818354.0
68.0,2835.973972,816628.0
67.9,2259.55796,815691.0
67.8,238.891729,814218.0
67.7,276.1338,811223.0
81.1,4245.39744,5479531.0
89.0,49914.61864,5461512.0
87.0,49638.7713,5438972.0
84.0,47415.55987,5413971.0
83.0,579.72415,5388272.0
79.9,4622.41516,5363352.0
79.7,4717.15571,5338871.0
79.6,5341.31487,5313399.0
79.3,48288.5491,528872.0
79.2,4112.67651,5266268.0
78.9,38969.17163,524696.0
78.7,37636.11173,5228172.0
78.4,32816.1688,521314.0
78.1,26834.2625,52598.0
78.0,24913.24452,51888.0
77.5,24253.2542,517629.0
82.4,36526.7711,6662468.0
82.2,42955.24287,66331957.0
82.0,42554.1225,6599857.0
81.5,4838.2444,6565979.0
81.7,4381.288,65342776.0
81.3,473.34279,6527512.0
81.1,41631.13141,647744.0
89.0,45413.6571,6437499.0
89.0,416.58397,6416229.0
86.0,36544.5853,63621376.0
81.0,34879.72633,63179356.0
82.0,33874.74255,6274897.0
79.3,29691.18158,62244884.0
79.2,24275.2426,6185267.0
79.0,22527.31775,61357431.0
78.8,22465.64184,6912498.0
66.0,7388.984144,193175.0
65.5,9692.163874,1875713.0
64.6,9679.742995,1817271.0
63.5,9774.18117,1756817.0
62.8,1716.2258,169711.0
62.3,8754.113376,16421.0
61.7,763.66223,1586754.0
61.6,194.2746,1536411.0
61.6,8352.81711,1489193.0
61.4,727.777345,1444844.0
65.0,6741.293948,143126.0
59.7,5685.577736,136425.0
59.7,4892.11618,1328146.0
59.7,412.55271,129449.0
59.8,3976.14887,1262259.0
61.0,4116.46693,1231122.0
74.4,3764.64912,37171.0
74.5,4429.6575,3727.0
74.5,4274.376857,3776.0
74.2,4142.869175,3825.0
73.9,3725.63221,3875.0
